TID,TEACHER,MAIL,FILE
MS,Michael Schuhmacher,ms@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Schuhmacher_M.xlsx
MR,Maria Reinherz,mr@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Reinherz_M.xlsx
TU,Tom Unterhalt,tu@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Unterhalt_T.xlsx
JL,Jana Lieblich,jl@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Lieblich_J.xlsx
UM,Ulbert Minnesänger,um@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Minnesaenger_U.xlsx
CG,Carmen Glühn,cg@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Gluehn_C.xlsx
BD,Berndt D'Arcy,ba@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_D^Arcy_B.xlsx
EL,Dr. Elena Lichtfeld,el@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Lichtfeld_E.xlsx
ML,Dr. Martin Leuchte,ml@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Leuchte_M.xlsx
LM,Linda Mähnenkopf,lm@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Maehnenkopf_L.xlsx
AH,Dr. Alicia Hahn,ah@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Hahn_A.xlsx
RL,Renate Lehmbach,rl@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Lehmbach_R.xlsx
SN,Stephan Namhaft,sn@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Namhaft_S.xlsx
FK,Fritz Klebrig,fk@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Klebrig_F.xlsx
